PMID,Title,Year,NLP_1,NLP_2,NLP_3,NLP_4,NLP_5,NLP_6,NLP_7,NLP_8,NLP_9,NLP_10,NLP_11,NLP_12,NLP_13,NLP_14,NLP_15,NLP_16,NLP_17,NLP_18,NLP_19,NLP_20,NLP_21,NLP_22,NLP_23,NLP_24,NLP_25,NLP_26,NLP_27,NLP_28,NLP_29,NLP_30,NLP_31,NLP_32,NLP_33,NLP_34,NLP_35,NLP_36,NLP_37,NLP_38,NLP_39,NLP_40,NLP_41,NLP_42,NLP_43,NLP_44,NLP_45,NLP_46,NLP_47,NLP_48,NLP_49,NLP_50,Abstract_Cluster,Paper_Degree,Paper_WeightedDegree,Paper_PageRank,Paper_Betweenness,Paper_Clustering,NLP_Community,N_Authors,N_IFIBIO_Authors,Fraction_IFIBIO,Mean_Author_Publications,Max_Author_Publications,Mean_Author_Degree,Max_Author_Degree,Mean_Author_WeightedDegree,Max_Author_WeightedDegree,N_Affiliations,N_MeSH,N_Keywords,Abstract_Words,Years_From_First,Social_Cluster,N_Social_Clusters,UMAP1,UMAP2,Integrated_Cluster
42675027,A strategic pathway for the ethical development of AI tools in dementia care.,2026,0.09540043550727562,0.03436619952365719,-0.015274434157574176,-0.03897524736749401,-0.02931782072318543,0.04753427418849109,-0.023584229817089446,-0.02459472516256917,-0.04484985349156118,0.036688020980282815,-0.027229295563548857,-0.034866214688043795,0.057101197615217265,-0.001354782960714714,0.11880005542206852,-0.02314421523098347,0.023367660340692695,0.043037272515921716,-0.05721017648193059,-0.012776695443534034,0.011488732093023337,-0.04113542159778133,-0.005894118117089987,0.0020652775799228362,-0.0329886674236668,0.026474519529634383,0.026793765970167877,-0.09480511711347438,0.122001522996848,0.0016024727503947264,-0.017641053589129544,-0.0867863678837085,0.052295011016008,-0.010617687494897813,-0.004259470107208015,0.09740397236025491,-0.1708354227410433,0.008724548228065811,-0.048602786267600055,0.06075661924426193,0.04072784302985782,0.016351059769234264,-0.019403874391451813,-0.050011599858725136,-0.0036566117195586537,-0.0059360000848392115,-0.05308772290030465,0.21212829789951493,-0.1238287967683012,-0.11618312155642721,4,,,,,,,12,1,0.08333333333333333,1.1666666666666667,3,11.5,17,11.666666666666666,19,11,3,10,107,12,9,1,8.051668,3.1925564,1
42611393,Congenital goitrous hypothyroidism due to thyroglobulin deficiency associated with angioinvasive follicular thyroid carcinoma: comprehensive and integral analysis of the p.Cys1897_Glu1900 deletion.,2026,0.16551384897011193,0.04564334923619624,-0.0012685438638515773,-0.10257514727869807,-0.013682113085353543,0.050654575863916834,0.015053026804170262,-0.031245820069659532,-0.15904852046843243,0.030640431038593742,-0.03585401577464311,-0.06178956709222977,0.08740819313829831,-0.05070757258156068,0.1354914821419823,0.04491185633118975,-0.026108235803351365,0.05911456655327163,0.028371459794499797,-0.08535619182691871,-0.047085303878372,-0.032784856142769006,-0.0640708994586951,-0.005020785749447318,0.05684225910492987,0.10692262114476662,0.07462657876648762,-0.09786235191350812,-0.04057808320088519,0.08366741365327571,-0.06994071155380509,0.030878443171723745,0.28257635771798345,0.1405993595141301,0.054514233936524485,0.18723962316221893,0.025353394089044225,-0.15332024410032488,-0.02545774473143287,-0.10606396690255118,0.25548665286080996,0.082614030903435,0.014672277910876469,0.03126701678028887,0.04719101365042278,-0.01890948445789114,-0.14189789801876873,-0.023983489032931148,0.18100151578218168,0.16267561154092613,4,2.0,0.6125352688917868,0.0019517507838185469,0.0,0.352796100677663,17.0,9,1,0.1111111111111111,1.2222222222222223,3,10.333333333333334,29,10.333333333333334,29,8,9,5,209,12,15,2,8.086988,2.5747685,1
42601945,Placental SNV rs8192446 in the ADORA2A gene is associated with Preeclampsia: a pilot study.,2026,0.22082402500147436,0.024523867991341108,0.13516399618520417,-0.0299544035877089,0.07308948642970453,0.2702921075126594,0.0107846350055443,0.0291963376931602,0.08378090717344135,-0.059156098670235115,0.00636699251552457,-0.04753242249332006,-0.015139514833583336,0.053870314383402985,0.05062255419942431,0.024073565340315056,-0.15640476656941701,0.1615346195047819,-0.016875131890194715,0.15532131436791416,0.13339198076922312,0.11075557952704213,0.13046559033093053,0.15576673501585622,-0.020455900330465047,-0.004851581764377967,0.018226873706114494,0.17037772959014638,0.13200392653362797,0.030791164396229077,-0.07697098813686837,-0.03741050679445324,0.1641297352448364,0.04962907879163237,-0.035993527777573656,-0.00934683015430558,0.0010304594413436741,-0.01494120952461535,-0.03386028290904862,-0.0949069992585822,0.0012202333118764407,-0.0526953710771469,0.010784937444888279,-0.014868746009802359,-0.04209007870701761,-0.09229831771434995,0.0188570816721332,-0.058543756441144366,0.05294964814679373,-0.04050357405489409,3,3.0,0.995897675801839,0.0030361377387177696,0.2579333709768492,0.0,11.0,10,2,0.2,7.1,45,31.0,137,50.4,267,8,0,5,135,12,0,1,5.135284,2.6470006,0
42576265,Serum aquaporin-1 increases with heart failure and aortic valve surgery with cardiopulmonary bypass.,2026,0.13511886421405314,-0.023924350763529306,-0.02143333276703328,-0.11567669389331404,0.20359366963726855,-0.018633471170274418,-0.00780224945870961,-0.022173939409007165,-0.029588312595090583,0.01963254985525288,0.0054014347639983785,0.02702682049985484,0.028982576998343827,0.044824363848589135,-0.04116234422636965,0.10851609565869759,-0.14030636313621284,0.0029844881841079363,-0.03331573984261902,-0.10989553029369854,0.13364952821088028,0.01666802878777965,-0.12026766659633825,0.008303321197350846,-0.12241276504201155,0.013436255715419157,0.05101660648582354,-0.04190273729740904,0.08092435255193968,0.03389252999449846,-0.09096717649292299,0.06679696900813084,-0.05367376282059259,0.06892886942168217,-0.0708093650292767,0.055318287224697955,0.0410981157345055,0.16952026699660042,0.05271364665336971,0.12673655501992603,0.05615688334588592,0.09351722154823792,-0.07518435006200934,-0.02531314480097631,-0.02631959145130861,-0.0362404858929116,-0.2538983463475205,-0.09026010991720254,-0.08887090987218418,-0.005117910934698513,4,1.0,0.2707996659157471,0.004310344827586207,0.0,0.0,12.0,8,3,0.375,6.5,21,24.125,65,42.625,127,3,0,5,133,12,3,1,6.929343,3.4412045,1
42570776,"Dopamine D2 receptor dependent and independent structural, intrinsic and synaptic adaptations in experimental parkinsonism.",2026,0.2008708923861665,0.15744428596019172,-0.040993729021384456,-0.21370452106879465,-0.19293421449463513,-0.06962754674370089,-0.05385336669087318,0.022757492834327372,0.08710992141741776,-0.025893589255637145,0.027701736169458195,0.013963473834382038,-0.19244227700782626,0.02620593476190292,-0.13057899468493625,-0.11923126069312914,0.07872935288468849,0.13262227107706254,-0.0688887507102508,0.07015673152846337,-0.09079100179252249,0.05498903868017514,0.010482811966641142,-0.10817515140697463,-0.12356335892706795,0.0990055689507213,-0.03890651448340901,0.00756850503147829,0.03500457396935701,0.1124450183731314,-0.14273858737938783,0.03903432223780655,0.014030397513212896,0.03617713776191499,0.019503075784122532,-0.017176113559914597,0.03714716082668425,-0.06712685375499958,-0.03594676899559558,0.020158100197905676,0.011273480876111418,0.015130418676606932,0.03459126592328075,0.043984432422333866,0.025573290294582014,0.005911572345454345,-0.07346589534207622,-0.1499552627357553,-0.0940536599452205,0.12054120550810103,2,4.0,1.2189862967964302,0.004780178876455931,0.007340485601355166,0.09783022807055114,2.0,5,1,0.2,7.6,27,31.8,110,47.2,175,4,14,5,185,12,1,1,7.0581098,1.5154877,0
42404802,Region-specific features of early glial activation and Aquaporin-4 dysregulation in conditional mouse models of TDP-43 proteinopathies.,2026,0.2887558878169688,0.13908236113765746,0.038346076024276046,-0.1280872687376799,-0.08525079446561709,0.024962090226400058,-0.04458574345268439,-0.062216803245223114,-0.2419079422129724,0.052021218337521255,-0.027201214902794896,-0.02243902334299513,0.07022204969141853,0.02197959972465934,0.15675955351295734,-0.013060656567407986,-0.024047789585911996,-0.0985262452760897,-0.03840611983710238,-0.025557059538764106,-0.16943185715780706,0.1017355877916414,-0.09873819711137267,0.001992929878081688,-0.04583760638182631,-0.009501341660012538,0.23724332430995262,-0.012701652982829686,0.16322492779767067,0.02897153979430704,0.12920167936965293,-0.01682475706832793,0.03054354681567477,0.038847883315682015,-0.12787196983512256,-0.07530476558117642,-0.023727427117703412,-0.10008020957955374,-0.021283524935609983,0.07113299540745081,-0.022228735526789802,-0.032646895994963,0.0254597159617422,-0.02498327804736792,0.017407314369304323,0.019828746851105708,0.12290505455480387,-0.03311548629123743,-0.10395705708848328,-0.04591152839967908,2,1.0,0.28755866956950177,0.0034593283373739563,0.0,0.0,0.0,5,5,1.0,6.8,16,27.6,63,35.6,76,5,0,5,167,12,4,2,8.208208,2.9048014,1
42347511,Recombinant Human Fab Antibodies Differentially Neutralize Shiga Toxin in Renal Epithelial and Endothelial Cells.,2026,0.3361386331849956,-0.3033407838910833,-0.23550784639353856,0.08992552237739462,-0.09169607140504536,0.014061300115900913,-0.018516100433547407,-0.12001682030246999,0.015807123497362737,-0.02367514850521317,0.005706605020642408,0.001985437886894953,0.10158105941897815,0.01477738317540795,0.015530539304244471,-0.02360065525160441,0.12904628192984918,0.08439597844526414,0.07530013780663328,-0.07084070336658568,-0.04180739016173375,0.10376950282897358,-0.007488117808157089,0.12083638806287733,-0.007761277399638141,0.08721299733559056,0.11984674750555643,0.008763052241005416,-0.05006998850802689,-0.09586034064113955,0.034266127169190946,-0.07335861842453749,0.011566953754633038,-0.024881605175865393,-0.016484387608029658,-0.05815738508852031,0.025082082290635743,0.009221041347472647,-0.0419894246261896,0.04737395812466957,-0.02602534133697589,0.023341445961577736,-0.16016439555123402,0.029265628386162167,-0.05875341350542792,-0.04757843740850548,0.029954469820138604,-0.0319907443605964,-0.03395684729244815,0.039843666071480655,6,13.0,4.020580338407069,0.005820167263968379,0.0004517221908526256,0.20338095194368855,18.0,16,5,0.3125,5.125,27,31.5625,114,48.5625,213,7,14,5,123,12,2,1,4.3498487,5.252734,0
42327001,Maternal obesity shapes associations between preeclampsia and birthweight in pregnancies exposed to low-dose aspirin.,2026,0.11214634922820649,0.005074063056280216,0.04916272303588519,-0.046480354054988675,0.08841368319526849,0.20319074142536964,0.01332512214328805,0.07464935163092681,0.006918637413638428,0.020245346485962514,-0.002800612823106872,-0.044250115568855095,-0.05033966493509821,0.02317570198276306,0.04979895526700331,0.11993429631341825,-0.045117718801350196,0.07540348204717984,0.04052195303397439,0.07703079120827608,0.07676759999610101,0.02249549277064217,0.019020187369715374,0.07619084673091085,-0.019625256908442242,-0.06287371979391893,-0.024099864888179483,0.14169418592862817,-0.0038009880248729643,-0.09455368648718608,0.02137369345452567,0.018277708859691565,0.08325993883485089,0.05053447261024265,-0.04521188317485314,0.013990632877327209,-0.08279631196852356,-0.05776049096558496,0.030356246682120624,0.014786491339328309,0.07829213566489379,0.1596332629252467,-0.05824718926241397,-0.0511543783554401,0.023905500826613857,0.03826131056263209,0.15591997250645034,-0.08692009537145237,-0.22528779431332463,0.10720523401454797,3,,,,,,,6,2,0.3333333333333333,9.5,45,32.833333333333336,137,56.166666666666664,267,4,0,6,173,12,0,1,5.248734,2.412035,0
42313886,Learning engages transient and sustained cellular mechanisms in the human brain.,2026,0.23833519245476517,0.16139343154634359,-0.0014150169743841602,0.037902643670113645,-0.06505937471826455,-0.036962712896873404,-0.05730051970217925,-0.035937998607773504,-0.12686456148158087,0.23537336375253531,0.2516842950326958,-0.0833499214152599,-0.09033147246520293,0.13901982665482013,-0.1213461840462708,-0.11643572350393033,0.05164499620382346,0.032647270757027586,-0.052885291170735794,0.01692409213304707,-0.13015240337237224,0.044717931676885175,0.08833863226369881,0.012994383912560813,-0.06460039533064155,0.07095942470727896,0.0964970867506129,-0.03155907223334311,0.004023584935001343,0.020809648048667008,0.07069936912172091,0.07139003730608177,0.03869552242554442,-0.06349017416056556,-0.0853267763213669,-0.045295252480921616,0.04898115068585353,-0.10090594374567201,0.03697670978528331,0.08141292037663019,0.003258807532890381,-0.06310581340650948,-0.15800325361689194,0.02853645574472261,0.2655057963891056,-0.00924636254309313,0.06384868404808003,-0.10526533710875188,0.005767275115438708,-0.03798402510309243,4,2.0,0.8443794152563637,0.0026803148143358596,0.0,0.4215352558031032,17.0,7,4,0.5714285714285714,4.857142857142857,15,13.571428571428571,37,26.142857142857142,77,5,9,0,115,12,10,1,8.6762085,3.0878701,1
42134656,TDP-43 expression in the cytoplasm leads to early synaptic and mitochondrial abnormalities in an inducible mouse model of ALS/FTD.,2026,0.26570446749070653,0.178111918658564,0.0023388133513254734,-0.2016487988827353,-0.11509646507721155,0.06492654169350034,-0.0413629375876532,-0.06147062108050765,-0.3754046643338767,-0.044259988546069835,6.550524375143179e-05,0.010221417950529292,0.1110167665349536,-0.11593406792215706,0.13383072211523295,4.792811368682431e-05,0.06833270800107369,0.042501612833809835,0.06329105497837006,-0.025465046259452864,-0.06829382143462294,0.006686880887778228,0.07075279504249304,-0.0455203813737598,-0.01143417327337537,0.1052822235780319,0.019175954711316917,-0.14820106406397993,0.024869822370395585,0.10627901187812878,-0.026959490317491775,0.08980624927827228,0.16167170746385415,0.08656898819535455,0.0396108236806099,0.16811507282191787,-0.07248029979648596,-0.16228189359051812,0.03829807346892833,0.02333833594934683,0.12485279682854812,-0.054362681202215254,0.0031992905805835045,0.09932315011180273,0.008598615742939486,0.035104509824640126,-0.015784889176191884,-0.051301165330854825,0.013904837061637025,0.04640734052429657,2,5.0,1.9714881483614406,0.004983730633817318,0.007528703180877093,0.2880302892033401,17.0,6,5,0.8333333333333334,5.333333333333333,16,22.833333333333332,63,27.666666666666668,76,4,11,6,155,12,4,2,8.47212,2.352991,1
