PMID,Section,EntityType,Mention,NormalizedName,NormalizedID,Database,Valid,GeneID,Symbol,Description,TaxID,Organism,CommonName
39855537,abstract,Gene,parvalbumin,Pvalb,19293,ncbi_gene,True,19293,Pvalb,parvalbumin,,Mus musculus,house mouse
39855537,abstract,Gene,parvalbumin,Pvalb,19293,ncbi_gene,True,19293,Pvalb,parvalbumin,,Mus musculus,house mouse
39947439,title,Gene,dopamine transporter,SLC6A3,6531,ncbi_gene,True,6531,SLC6A3,solute carrier family 6 member 3,,Homo sapiens,human
39947439,title,Gene,DAT,SLC6A3,6531,ncbi_gene,True,6531,SLC6A3,solute carrier family 6 member 3,,Homo sapiens,human
39947439,abstract,Gene,tyrosine hydroxylase,TH,7054,ncbi_gene,True,7054,TH,tyrosine hydroxylase,,Homo sapiens,human
39947439,abstract,Gene,TH,TH,7054,ncbi_gene,True,7054,TH,tyrosine hydroxylase,,Homo sapiens,human
39947439,abstract,Gene,vesicular monoamine transporter 2,SLC18A2,6571,ncbi_gene,True,6571,SLC18A2,solute carrier family 18 member A2,,Homo sapiens,human
39947439,abstract,Gene,VMAT2,SLC18A2,6571,ncbi_gene,True,6571,SLC18A2,solute carrier family 18 member A2,,Homo sapiens,human
39947439,abstract,Gene,dopamine transporter,SLC6A3,6531,ncbi_gene,True,6531,SLC6A3,solute carrier family 6 member 3,,Homo sapiens,human
39947439,abstract,Gene,DAT,SLC6A3,6531,ncbi_gene,True,6531,SLC6A3,solute carrier family 6 member 3,,Homo sapiens,human
39947439,abstract,Gene,DAT,SLC6A3,6531,ncbi_gene,True,6531,SLC6A3,solute carrier family 6 member 3,,Homo sapiens,human
39955250,title,Gene,AQUAPORIN-9,AQP9,366,ncbi_gene,True,366,AQP9,aquaporin 9,,Homo sapiens,human
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True,366,AQP9,aquaporin 9,,Homo sapiens,human
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True,366,AQP9,aquaporin 9,,Homo sapiens,human
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True,366,AQP9,aquaporin 9,,Homo sapiens,human
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True,366,AQP9,aquaporin 9,,Homo sapiens,human
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True,366,AQP9,aquaporin 9,,Homo sapiens,human
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True,366,AQP9,aquaporin 9,,Homo sapiens,human
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True,366,AQP9,aquaporin 9,,Homo sapiens,human
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True,366,AQP9,aquaporin 9,,Homo sapiens,human
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True,366,AQP9,aquaporin 9,,Homo sapiens,human
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True,366,AQP9,aquaporin 9,,Homo sapiens,human
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True,366,AQP9,aquaporin 9,,Homo sapiens,human
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True,366,AQP9,aquaporin 9,,Homo sapiens,human
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True,366,AQP9,aquaporin 9,,Homo sapiens,human
40527250,title,Gene,Aquaporin-1,AQP1,358,ncbi_gene,True,358,AQP1,aquaporin 1 (Colton blood group),,Homo sapiens,human
40527250,title,Gene,aquaporin-4,AQP4,361,ncbi_gene,True,361,AQP4,aquaporin 4,,Homo sapiens,human
40527250,title,Gene,caveolin-1,CAV1,857,ncbi_gene,True,857,CAV1,caveolin 1,,Homo sapiens,human
40553107,title,Gene,dopamine D5 receptor,Drd5,13492,ncbi_gene,True,13492,Drd5,dopamine receptor D5,,Mus musculus,house mouse
40553107,abstract,Gene,D2R,Drd2,13489,ncbi_gene,True,13489,Drd2,dopamine receptor D2,,Mus musculus,house mouse
40553107,abstract,Gene,D5R,Drd5,13492,ncbi_gene,True,13492,Drd5,dopamine receptor D5,,Mus musculus,house mouse
40553107,abstract,Gene,D5R,Drd5,13492,ncbi_gene,True,13492,Drd5,dopamine receptor D5,,Mus musculus,house mouse
40553107,abstract,Gene,D5R,Drd5,13492,ncbi_gene,True,13492,Drd5,dopamine receptor D5,,Mus musculus,house mouse
40577142,title,Gene,CD4+,CD4,920,ncbi_gene,True,920,CD4,CD4 molecule,,Homo sapiens,human
40595449,abstract,Gene,TOR,RORC,6097,ncbi_gene,True,6097,RORC,RAR related orphan receptor C,,Homo sapiens,human
40603573,title,Gene,4EBP,Thor,33569,ncbi_gene,True,33569,Thor,thor,,Drosophila melanogaster,fruit fly
40603573,title,Gene,Thor,Thor,33569,ncbi_gene,True,33569,Thor,thor,,Drosophila melanogaster,fruit fly
40603573,abstract,Gene,Sima,sima,43580,ncbi_gene,True,43580,sima,similar,,Drosophila melanogaster,fruit fly
40603573,abstract,Gene,4E-BP,Thor,33569,ncbi_gene,True,33569,Thor,thor,,Drosophila melanogaster,fruit fly
40603573,abstract,Gene,Thor,Thor,33569,ncbi_gene,True,33569,Thor,thor,,Drosophila melanogaster,fruit fly
40603573,abstract,Gene,4E-BP,Thor,33569,ncbi_gene,True,33569,Thor,thor,,Drosophila melanogaster,fruit fly
40603573,abstract,Gene,Thor,Thor,33569,ncbi_gene,True,33569,Thor,thor,,Drosophila melanogaster,fruit fly
40603573,abstract,Gene,Sima,sima,43580,ncbi_gene,True,43580,sima,similar,,Drosophila melanogaster,fruit fly
40603573,abstract,Gene,Foxo,foxo,41709,ncbi_gene,True,41709,foxo,"forkhead box, sub-group O",,Drosophila melanogaster,fruit fly
40603573,abstract,Gene,4E-BP,Thor,33569,ncbi_gene,True,33569,Thor,thor,,Drosophila melanogaster,fruit fly
40603573,abstract,Gene,Thor,Thor,33569,ncbi_gene,True,33569,Thor,thor,,Drosophila melanogaster,fruit fly
40603573,abstract,Gene,Thor,Thor,33569,ncbi_gene,True,33569,Thor,thor,,Drosophila melanogaster,fruit fly
40603573,abstract,Gene,Thor,Thor,33569,ncbi_gene,True,33569,Thor,thor,,Drosophila melanogaster,fruit fly
40617562,title,Gene,GB3,A4GALT,53947,ncbi_gene,True,53947,A4GALT,"alpha 1,4-galactosyltransferase (P1PK blood group)",,Homo sapiens,human
40617562,abstract,Gene,Stx1,STX1A,6804,ncbi_gene,True,6804,STX1A,syntaxin 1A,,Homo sapiens,human
40617562,abstract,Gene,Stx2,STX2,2054,ncbi_gene,True,2054,STX2,syntaxin 2,,Homo sapiens,human
40617562,abstract,Gene,Stx2,STX2,2054,ncbi_gene,True,2054,STX2,syntaxin 2,,Homo sapiens,human
40617562,abstract,Gene,Stx1,STX1A,6804,ncbi_gene,True,6804,STX1A,syntaxin 1A,,Homo sapiens,human
40617562,abstract,Gene,Stx2,STX2,2054,ncbi_gene,True,2054,STX2,syntaxin 2,,Homo sapiens,human
40617562,abstract,Gene,Stx1,STX1A,6804,ncbi_gene,True,6804,STX1A,syntaxin 1A,,Homo sapiens,human
40617562,abstract,Gene,Stx2,STX2,2054,ncbi_gene,True,2054,STX2,syntaxin 2,,Homo sapiens,human
40617562,abstract,Gene,LC3,MAP1LC3A,84557,ncbi_gene,True,84557,MAP1LC3A,microtubule associated protein 1 light chain 3 alpha,,Homo sapiens,human
40617562,abstract,Gene,Stx1,STX1A,6804,ncbi_gene,True,6804,STX1A,syntaxin 1A,,Homo sapiens,human
40617562,abstract,Gene,Stx2,STX2,2054,ncbi_gene,True,2054,STX2,syntaxin 2,,Homo sapiens,human
40617562,abstract,Gene,TAR-DNA-binding protein-43,TARDBP,23435,ncbi_gene,True,23435,TARDBP,TAR DNA binding protein,,Homo sapiens,human
40617562,abstract,Gene,Stx1,STX1A,6804,ncbi_gene,True,6804,STX1A,syntaxin 1A,,Homo sapiens,human
40617562,abstract,Gene,Stx2,STX2,2054,ncbi_gene,True,2054,STX2,syntaxin 2,,Homo sapiens,human
40882494,title,Gene,Aquaporin-1,AQP1,358,ncbi_gene,True,358,AQP1,aquaporin 1 (Colton blood group),,Homo sapiens,human
40882494,title,Gene,aquaporin-4,AQP4,361,ncbi_gene,True,361,AQP4,aquaporin 4,,Homo sapiens,human
40882494,title,Gene,caveolin-1,CAV1,857,ncbi_gene,True,857,CAV1,caveolin 1,,Homo sapiens,human
41014673,title,Gene,AQP3,AQP3,360,ncbi_gene,True,360,AQP3,aquaporin 3 (Gill blood group),,Homo sapiens,human
41014673,abstract,Gene,aquaporin 3,AQP3,360,ncbi_gene,True,360,AQP3,aquaporin 3 (Gill blood group),,Homo sapiens,human
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True,360,AQP3,aquaporin 3 (Gill blood group),,Homo sapiens,human
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True,360,AQP3,aquaporin 3 (Gill blood group),,Homo sapiens,human
41014673,abstract,Gene,TonEBP,NFAT5,10725,ncbi_gene,True,10725,NFAT5,nuclear factor of activated T cells 5,,Homo sapiens,human
41014673,abstract,Gene,NF-kappaB,NFKB1,4790,ncbi_gene,True,4790,NFKB1,nuclear factor kappa B subunit 1,,Homo sapiens,human
41014673,abstract,Gene,Bax,BAX,581,ncbi_gene,True,581,BAX,"BCL2 associated X, apoptosis regulator",,Homo sapiens,human
41014673,abstract,Gene,Bcl-2,BCL2,596,ncbi_gene,True,596,BCL2,BCL2 apoptosis regulator,,Homo sapiens,human
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True,360,AQP3,aquaporin 3 (Gill blood group),,Homo sapiens,human
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True,360,AQP3,aquaporin 3 (Gill blood group),,Homo sapiens,human
41014673,abstract,Gene,TonEBP,NFAT5,10725,ncbi_gene,True,10725,NFAT5,nuclear factor of activated T cells 5,,Homo sapiens,human
41014673,abstract,Gene,NF-kappaB,NFKB1,4790,ncbi_gene,True,4790,NFKB1,nuclear factor kappa B subunit 1,,Homo sapiens,human
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True,360,AQP3,aquaporin 3 (Gill blood group),,Homo sapiens,human
