source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,minus_log10_p,GeneRatio,FoldEnrichment,BackgroundRatio,Specificity,ParentList
GO:BP,GO:1901700,response to oxygen-containing compound,9.706272027795346e-46,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1632,188,90,20972,0.4787234042553192,0.0551470588235294,query_1,['GO:0042221'],45.012947541321275,0.4787234042553192,6.15183041301627,0.07781804310509251,0.0006127450980392157,['GO:0042221']
GO:BP,GO:0042221,response to chemical,1.5728955962147775e-41,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",3863,188,122,20972,0.648936170212766,0.0315816722754336,query_1,['GO:0050896'],40.80330010350043,0.648936170212766,3.52303633489571,0.18419797825672324,0.0002588661661920787,['GO:0050896']
GO:BP,GO:0051239,regulation of multicellular organismal process,3.0189031202108297e-40,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2923,188,107,20972,0.5691489361702128,0.0366062264796442,query_1,"['GO:0032501', 'GO:0050789']",39.520150823721835,0.5691489361702128,4.083541392186692,0.13937631127217243,0.00034211426616489907,"['GO:0032501', 'GO:0050789']"
GO:BP,GO:0032501,multicellular organismal process,5.110447959316524e-37,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",7337,188,154,20972,0.8191489361702128,0.0209895052473763,query_1,['GO:0008150'],36.29154102985893,0.8191489361702128,2.3414462981275324,0.3498474156017547,0.0001362954886193267,['GO:0008150']
GO:BP,GO:0070887,cellular response to chemical stimulus,7.615188355647555e-35,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",2199,188,89,20972,0.4734042553191489,0.0404729422464756,query_1,"['GO:0042221', 'GO:0051716']",34.11831935026534,0.4734042553191489,4.514885876558978,0.10485409116917795,0.00045475216007276033,"['GO:0042221', 'GO:0051716']"
GO:BP,GO:0065008,regulation of biological quality,1.230010961668888e-34,True,"""Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",2963,188,101,20972,0.5372340425531915,0.0340870739115761,query_1,['GO:0065007'],33.910091018177596,0.5372340425531915,3.802521883370075,0.14128361625023841,0.0003374957813027337,['GO:0065007']
GO:BP,GO:1901698,response to nitrogen compound,5.069046879328131e-34,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]",941,188,62,20972,0.3297872340425531,0.0658873538788522,query_1,['GO:0042221'],33.295073692335606,0.32978723404255317,7.349944603974947,0.044869349609002476,0.0010626992561105207,['GO:0042221']
GO:BP,GO:0007267,cell-cell signaling,3.033204471083952e-33,True,"""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]",1316,188,70,20972,0.3723404255319149,0.0531914893617021,query_1,"['GO:0007154', 'GO:0023052']",32.51809831251481,0.3723404255319149,5.933680398370303,0.06275033377837116,0.0007598784194528875,"['GO:0007154', 'GO:0023052']"
GO:BP,GO:0009628,response to abiotic stimulus,5.065907127633081e-31,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]",1108,188,63,20972,0.3351063829787234,0.0568592057761732,query_1,['GO:0050896'],30.295342776315348,0.3351063829787234,6.342825869882479,0.052832347892428,0.0009025270758122744,['GO:0050896']
GO:BP,GO:1901701,cellular response to oxygen-containing compound,3.7921340563906895e-30,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1194,188,64,20972,0.3404255319148936,0.0536013400335008,query_1,"['GO:0070887', 'GO:1901700']",29.421116318242817,0.3404255319148936,5.979400548843508,0.056933053595269886,0.0008375209380234506,"['GO:0070887', 'GO:1901700']"
GO:BP,GO:0009605,response to external stimulus,2.6480598086599505e-29,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",2427,188,86,20972,0.4574468085106383,0.0354346930366707,query_1,['GO:0050896'],28.577072210215096,0.4574468085106383,3.952853097686488,0.11572572954415411,0.00041203131437989287,['GO:0050896']
GO:BP,GO:0006950,response to stress,4.1917096112941677e-29,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3984,188,108,20972,0.574468085106383,0.0271084337349397,query_1,['GO:0050896'],28.377608811563654,0.574468085106383,3.0240322994104076,0.18996757581537288,0.000251004016064257,['GO:0050896']
GO:BP,GO:0048731,system development,9.371331318810602e-29,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",4023,188,108,20972,0.574468085106383,0.0268456375838926,query_1,"['GO:0007275', 'GO:0048856']",28.028198707581605,0.574468085106383,2.994716550049979,0.19182719816898722,0.00024857071836937607,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0007275,multicellular organism development,7.057625795895321e-28,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",4690,188,115,20972,0.6117021276595744,0.0245202558635394,query_1,"['GO:0032501', 'GO:0048856']",27.151341372199635,0.6117021276595744,2.73531279771356,0.22363150867823764,0.00021321961620469082,"['GO:0032501', 'GO:0048856']"
GO:BP,GO:0050896,response to stimulus,8.57469394972774e-28,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",9051,188,157,20972,0.8351063829787234,0.0173461495967296,query_1,['GO:0008150'],27.066781371963494,0.8351063829787234,1.9350183475670961,0.4315754339118825,0.00011048502927853276,['GO:0008150']
GO:BP,GO:0042592,homeostatic process,8.57469394972774e-28,True,"""Any biological process involved in the maintenance of an internal steady state. Homeostasis allows cells and organisms to maintain stable internal conditions despite varying external conditions."" [PMID:26265027]",1677,188,71,20972,0.3776595744680851,0.0423375074537865,query_1,['GO:0008150'],27.066781371963494,0.3776595744680851,4.722884076174527,0.07996376120541675,0.0005963029218843172,['GO:0008150']
GO:BP,GO:0051240,positive regulation of multicellular organismal process,1.4200191846471414e-27,True,"""Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1639,188,70,20972,0.3723404255319149,0.0427089688834655,query_1,"['GO:0032501', 'GO:0048518', 'GO:0051239']",26.847705788201374,0.3723404255319149,4.764321784170421,0.07815182147625405,0.0006101281269066504,"['GO:0032501', 'GO:0048518', 'GO:0051239']"
GO:BP,GO:0048518,positive regulation of biological process,3.465519603401103e-27,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6150,188,130,20972,0.6914893617021277,0.0211382113821138,query_1,"['GO:0008150', 'GO:0050789']",26.4602316401368,0.6914893617021277,2.3580349420515483,0.2932481403776464,0.00016260162601626016,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0032879,regulation of localization,9.106246582193623e-27,True,"""Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location."" [GOC:mah]",1914,188,74,20972,0.3936170212765957,0.038662486938349,query_1,"['GO:0050789', 'GO:0051179']",26.04066059388769,0.39361702127659576,4.312923808888593,0.09126454320045775,0.0005224660397074191,"['GO:0050789', 'GO:0051179']"
GO:BP,GO:0023052,signaling,2.0585817639753095e-26,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",6558,188,133,20972,0.7074468085106383,0.0202805733455321,query_1,['GO:0050789'],25.686431878757293,0.7074468085106383,2.2623626819281957,0.3127026511539195,0.00015248551387618176,['GO:0050789']
GO:BP,GO:0023056,positive regulation of signaling,2.443850793949412e-26,True,"""Any process that activates, maintains or increases the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",1779,188,71,20972,0.3776595744680851,0.0399100618324901,query_1,"['GO:0023051', 'GO:0023052', 'GO:0048518']",25.611925312890413,0.3776595744680851,4.452094769952041,0.08482738889948503,0.0005621135469364812,"['GO:0023051', 'GO:0023052', 'GO:0048518']"
GO:BP,GO:0010647,positive regulation of cell communication,2.443850793949412e-26,True,"""Any process that increases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",1778,188,71,20972,0.3776595744680851,0.0399325084364454,query_1,"['GO:0007154', 'GO:0010646', 'GO:0048522']",25.611925312890413,0.3776595744680851,4.454598760261351,0.08477970627503338,0.0005624296962879641,"['GO:0007154', 'GO:0010646', 'GO:0048522']"
GO:BP,GO:0051049,regulation of transport,2.5610067362256966e-26,True,"""Any process that modulates the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",1566,188,67,20972,0.3563829787234042,0.0427841634738186,query_1,"['GO:0006810', 'GO:0032879']",25.59158927920365,0.35638297872340424,4.772709980707046,0.07467098989128361,0.0006385696040868455,"['GO:0006810', 'GO:0032879']"
GO:BP,GO:0007154,cell communication,3.338620630072405e-26,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",6598,188,133,20972,0.7074468085106383,0.0201576235222794,query_1,['GO:0009987'],25.47643292734473,0.7074468085106383,2.2486472367513044,0.3146099561319855,0.0001515610791148833,['GO:0009987']
GO:BP,GO:0010646,regulation of cell communication,3.8601909533314937e-26,True,"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",3480,188,97,20972,0.5159574468085106,0.0278735632183908,query_1,"['GO:0007154', 'GO:0050794']",25.41339121140934,0.5159574468085106,3.1093849351919784,0.16593553309174136,0.00028735632183908046,"['GO:0007154', 'GO:0050794']"
GO:BP,GO:0042981,regulation of apoptotic process,3.953798820419501e-26,True,"""Any process that modulates the occurrence or rate of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]",1426,188,64,20972,0.3404255319148936,0.0448807854137447,query_1,"['GO:0006915', 'GO:0043067']",25.402985432494397,0.3404255319148936,5.006594849452418,0.06799542246805264,0.0007012622720897616,"['GO:0006915', 'GO:0043067']"
